"SequenceFeature.primaryIdentifier","SequenceFeature.featureType","SequenceFeature.secondaryIdentifier","SequenceFeature.symbol","SequenceFeature.description","SequenceFeature.sgdAlias","SequenceFeature.qualifier"
"S000003088","ORF","YGL120C","PRP43","RNA helicase in the DEAH-box family; functions in both RNA polymerase I and polymerase II transcript metabolism; catalyzes removal of U2, U5, and U6 snRNPs from the postsplicing lariat-intron ribonucleoprotein complex; required for efficient biogenesis of both small- and large-subunit rRNAs; acts with Sqs1p to promote 20S to 18S rRNA processing catalyzed by endonuclease Nob1p","DEAH-box ATP-dependent RNA helicase PRP43|JA1","Verified"
"S000003089","ORF","YGL121C","GPG1","Proposed gamma subunit of the heterotrimeric G protein; interacts with the receptor Gpr1p; involved in regulation of pseudohyphal growth; requires Gpb1p or Gpb2p to interact with Gpa2p; overproduction causes prion curing","","Verified"
"S000003090","ORF","YGL122C","NAB2","Nuclear polyadenylated RNA-binding protein; required for nuclear mRNA export and poly(A) tail length control; stimulates RNA polymerase III transcription by enhancing TFIIIB binding to promoters; dimerizes upon RNA binding; protects mRNA against decay by nuclear exosome in a poly(A)-tail-dependent manner; involved in forming export-competent mRNPs in the nucleus; autoregulates mRNA levels; NLS binds Kap104p; protein abundance increases under DNA replication stress; related to human hnRNPs","mRNA-binding protein NAB2","Verified"
"S000003091","ORF","YGL123W","RPS2","Protein component of the small (40S) subunit; essential for control of translational accuracy; phosphorylation by C-terminal domain kinase I (CTDK-I) enhances translational accuracy; methylated on one or more arginine residues by Hmt1p; homologous to mammalian ribosomal protein S2 and bacterial S5","ribosomal 40S subunit protein S2|rp12|RPS4|S2|S4|S5|SUP138|SUP38|SUP44|uS5|Ys5","Verified"
"S000003092","ORF","YGL124C","MON1","Subunit of a heterodimeric guanine nucleotide exchange factor (GEF); subunit of the Mon1-Ccz1 GEF complex which stimulates nucleotide exchange and activation of Ypt7p, a Rab family GTPase involved in membrane tethering and fusion events at the late endosome and vacuole; GEF activity is stimulated by membrane association and anionic phospholipids; role in localizing Ypt7p to the vacuolar membrane; required for autophagy, the CVT pathway and mitophagy; potential Cdc28 substrate","AUT12","Verified"
"S000003093","ORF","YGL125W","MET13","Major isozyme of methylenetetrahydrofolate reductase; catalyzes the reduction of 5,10-methylenetetrahydrofolate to 5-methyltetrahydrofolate in the methionine biosynthesis pathway","MET11|methylenetetrahydrofolate reductase (NAD(P)H) MET13|MRPL45","Verified"
"S000003094","ORF","YGL126W","SCS3","Protein required for normal ER membrane biosynthesis in response to ER stress; ortholog of the FIT family of proteins involved in triglyceride droplet biosynthesis; human homolog FIT2/FITM2, a fatty acyl-CoA diphosphatase, complements the yeast null mutant; disputed role in the synthesis of inositol phospholipids from inositol; required for inositol prototrophy","FIT2B","Verified"
"S000003095","ORF","YGL127C","SOH1","Subunit of the RNA polymerase II mediator complex; associates with core polymerase subunits to form the RNA polymerase II holoenzyme; involved in telomere maintenance; conserved with other metazoan MED31 subunits","MED31|mediator complex subunit SOH1","Verified"
"S000003096","ORF","YGL128C","CWC23","Component of a complex containing Cef1p; putatively involved in pre-mRNA splicing; has similarity to E. coli DnaJ and other DnaJ-like proteins and to S. pombe Cwf23p","U2-type spliceosomal complex subunit CWC23","Verified"
"S000003097","ORF","YGL129C","RSM23","Mitochondrial ribosomal protein of the small subunit; has similarity to mammalian apoptosis mediator proteins; null mutation prevents induction of apoptosis by overproduction of metacaspase Mca1p","mitochondrial 37S ribosomal protein RSM23|mS29","Verified"
"S000003098","ORF","YGL130W","CEG1","Guanylyltransferase involved in mRNA 5' capping; subunit of mRNA capping enzyme, which is a heterotetramer composed of two molecules of Ceg1p and a homodimer of Cet1p, the mRNA 5'-triphosphatase subunit; nuclear import of Ceg1p requires interaction with Cet1p; mammalian capping enzyme is a single bifunctional polypeptide; human homolog RNGTT can complement yeast ceg1 null mutant","mRNA guanylyltransferase ","Verified"
"S000003099","ORF","YGL131C","SNT2","Subunit of Snt2C complex, RING finger ubiquitin ligase (E3); physically associates with Ecm5p and Rpd3p; along with Ecm5p, recruits Rpd3p to small number of promoters; colocalizes with Ecm5p, independently of Rpd3p, to promoters of stress response genes upon oxidative stress; involved in ubiquitination, degradation of excess histones; interacts with Ubc4p; role in regulating genes encoding amine transporters; relocalizes from nucleus to cytoplasm upon DNA replication stress","DNA-binding E3 ubiquitin-protein ligase SNT2","Verified"
"S000003100","ORF","YGL132W","","Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; overlaps the verified gene SNT2/YGL131C","","Dubious"
"S000003101","ORF","YGL133W","ITC1","Subunit of ATP-dependent Isw2p-Itc1p chromatin remodeling complex; required for repression of a-specific genes, repression of early meiotic genes during mitotic growth, and repression of INO1; similar to mammalian Acf1p, the regulatory subunit of the mammalian ATP-utilizing chromatin assembly and modifying factor (ACF) complex; ITC1 has a paralog, YPL216W, that arose from the whole genome duplication","","Verified"
"S000003102","ORF","YGL134W","PCL10","Pho85p cyclin; recruits, activates, and targets Pho85p cyclin-dependent protein kinase to its substrate; PCL10 has a paralog, PCL8, that arose from the whole genome duplication","","Verified"
"S000003103","ORF","YGL135W","RPL1B","Ribosomal 60S subunit protein L1B; N-terminally acetylated; homologous to mammalian ribosomal protein L10A and bacterial L1; RPL1B has a paralog, RPL1A, that arose from the whole genome duplication; rpl1a rpl1b double null mutation is lethal; ribosomes containing Rpl1b are more efficient in translation of respiration-related proteins","L1|L1B|ribosomal 60S subunit protein L1B|SSM2|uL1","Verified"
"S000003104","ORF","YGL136C","MRM2","Mitochondrial 2' O-ribose methyltransferase; required for methylation of U(2791) in 21S rRNA; MRM2 deletion confers thermosensitive respiration and loss of mitochondrial DNA; has similarity to Spb1p and Trm7p, and to E. coli FtsJ/RrmJ","21S rRNA (uridine2791-2'-O) methyltransferase","Verified"
"S000003105","ORF","YGL137W","SEC27","Essential beta'-coat protein of the COPI coatomer; involved in ER-to-Golgi and Golgi-to-ER transport; contains WD40 domains that mediate cargo selective interactions; 45% sequence identity to mammalian beta'-COP","coatomer subunit beta'","Verified"
"S000003106","ORF","YGL138C","","Putative protein of unknown function; has no significant sequence similarity to any known protein","","Uncharacterized"
"S000003107","ORF","YGL139W","FLC3","Putative FAD transporter, similar to Flc1p and Flc2p; localized to the ER; FLC3 has a paralog, FLC1, that arose from the whole genome duplication","HUF3|putative flavin adenine dinucleotide transporter","Verified"
"S000003108","ORF","YGL140C","","Putative protein of unknown function; non-essential gene; contains multiple predicted transmembrane domains","","Uncharacterized"
"S000003109","ORF","YGL141W","HUL5","Multiubiquitin chain assembly factor (E4); proteasome processivity factor that elongates polyUb chains on substrates, opposing Ubp6p, a branched polyubiquitin protease; required for retrograde transport of misfolded proteins during ERAD; required for ubiquitination of a subset of cytosolic misfolded proteins upon heat shock","ubiquitin-ubiquitin ligase HUL5","Verified"
"S000003110","ORF","YGL142C","GPI10","Integral membrane protein involved in GPI anchor synthesis; putative alpha 1,2 mannosyltransferase required for addition of the third mannose onto the glycosylphosphatidylinositol (GPI) core structure; human PIG-Bp is a functional homolog","putative glycosylphosphatidylinositol-alpha 1,2 mannosyltransferase","Verified"
"S000003111","ORF","YGL143C","MRF1","Mitochondrial translation release factor; involved in stop codon recognition and hydrolysis of the peptidyl-tRNA bond during mitochondrial translation; lack of MRF1 causes mitochondrial genome instability","","Verified"
"S000003112","ORF","YGL144C","ROG1","Lipase with specificity for monoacylglycerol; preferred substrate is 1-oleoylglycerol; null mutation affects lipid droplet morphology and overexpression causes increased accumulation of reactive oxygen species","putative lipase ROG1","Verified"
"S000003113","ORF","YGL145W","TIP20","Peripheral membrane protein required for COPI vesicle fusion to the ER; mediates Sey1p-independent homotypic ER fusion; prohibits back-fusion of COPII vesicles with the ER; forms a tethering complex with Sec39p and Dsl1p that interacts with ER SNAREs Sec20p and Use1p","TIP1","Verified"
"S000003114","ORF","YGL146C","RRT6","Integral membrane protein, member of the p24 family; forms complex with Erp3p, Erp5p, and Emp24p; non-essential gene identified in a screen for mutants with increased levels of rDNA transcription","","Verified"
"S000003115","ORF","YGL147C","RPL9A","Ribosomal 60S subunit protein L9A; homologous to mammalian ribosomal protein L9 and bacterial L6; RPL9A has a paralog, RPL9B, that arose from a single-locus duplication","L6|L8A|L9A|ribosomal 60S subunit protein L9A|rp24|uL6|YL11","Verified"
"S000003116","ORF","YGL148W","ARO2","Bifunctional chorismate synthase and flavin reductase; catalyzes the conversion of 5-enolpyruvylshikimate 3-phosphate (EPSP) to form chorismate, which is a precursor to aromatic amino acids; protein abundance increases in response to DNA replication stress","bifunctional chorismate synthase/riboflavin reductase [NAD(P)H] ARO2","Verified"
"S000003117","ORF","YGL149W","","Putative protein of unknown function; conserved among S. cerevisiae strains; YGL149W is not an essential gene","","Uncharacterized"
"S000003118","ORF","YGL150C","INO80","ATPase and nucleosome spacing factor; subunit of complex containing actin and actin-related proteins that has chromatin remodeling activity and 3' to 5' DNA helicase activity in vitro; promotes nucleosome shifts in the 3 prime direction; has a role in modulating stress gene transcription","chromatin-remodeling ATPase INO80","Verified"
"S000003119","ORF","YGL151W","NUT1","Component of the RNA polymerase II mediator complex; mediator is required for transcriptional activation and also has a role in basal transcription","MED5|SSX4","Verified"
"S000003120","ORF","YGL152C","","Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially overlaps the verified ORF PEX14/YGL153W","","Dubious"
"S000003121","ORF","YGL153W","PEX14","Central component of the peroxisomal importomer complex; peroxisomal protein import machinery docking complex component; interacts with both PTS1 (Pex5p) and PTS2 (Pex7p) peroxisomal matrix protein signal recognition factors and membrane receptor Pex13p","","Verified"
"S000003122","ORF","YGL154C","LYS5","Phosphopantetheinyl transferase involved in lysine biosynthesis; converts inactive apo-form of Lys2p (alpha-aminoadipate reductase) into catalytically active holo-form by posttranslational addition of phosphopantetheine","holo-[acyl-carrier-protein] synthase","Verified"
"S000003123","ORF","YGL155W","CDC43","Beta subunit of geranylgeranyltransferase type I; subunit of the Ram2p-Cdc43p heterodimer that catalyzes the geranylgeranylation of the cysteine residue in proteins containing a C-terminal CaaX sequence ending in Leu or Phe; has substrates important for morphogenesis","CAL1|protein geranylgeranyltransferase type I subunit CDC43","Verified"
"S000003124","ORF","YGL156W","AMS1","Vacuolar alpha mannosidase; involved in free oligosaccharide (fOS) degradation; upregulated under glucose starvation; delivered to the vacuole in a novel pathway separate from the secretory pathway","alpha-mannosidase","Verified"
"S000003125","ORF","YGL157W","ARI1","NADPH-dependent aldehyde reductase; utilizes aromatic and alophatic aldehyde substrates; member of the short-chain dehydrogenase/reductase superfamily","carbonyl reductase (NADPH-dependent) ARI1","Verified"
"S000003126","ORF","YGL158W","RCK1","Protein kinase involved in oxidative stress response; promotes pseudohyphal growth via activation of Ubp3p phosphorylation; identified as suppressor of S. pombe cell cycle checkpoint mutations; RCK1 has a paralog, RCK2, that arose from the whole genome duplication","putative serine/threonine protein kinase RCK1","Verified"
"S000003127","ORF","YGL159W","","Putative protein of unknown function; deletion mutant has no detectable phenotype","","Uncharacterized"
"S000003128","ORF","YGL160W","AIM14","NADPH oxidase localized to the perinuclear ER; produces superoxide from NADPH; overexpression causes MCA1 dependent apoptosis; likely involved in superoxide-mediated regulation of the actin cytoskeleton; member of a conserved superfamily of NADPH oxidases (NOX enzymes); has similarity to iron/copper reductases (FRE1-8), particularly Fre8p","putative metalloreductase|YNO1","Verified"
"S000003129","ORF","YGL161C","YIP5","Protein that interacts with Rab GTPases; localized to late Golgi vesicles; computational analysis of large-scale protein-protein interaction data suggests a possible role in vesicle-mediated transport","","Verified"
"S000003130","ORF","YGL162W","SUT1","Zn(II)2Cys6 family transcription factor; positively regulates sterol uptake genes under anaerobic conditions; involved in hypoxic gene expression; represses filamentation-inducing genes during vegetative growth; positively regulates mating with SUT2 by repressing expression of genes that act as mating inhibitors; repressed by STE12; relocalizes from the nucleus to the cytoplasm upon DNA replication stress; SUT1 has a paralog, SUT2, that arose from the whole genome duplication","","Verified"
"S000003131","ORF","YGL163C","RAD54","DNA-dependent ATPase that stimulates strand exchange; modifies the topology of double-stranded DNA; involved in the recombinational repair of double-strand breaks in DNA during vegetative growth and meiosis; member of the SWI/SNF family of DNA translocases; forms nuclear foci upon DNA replication stress","DNA-dependent ATPase RAD54|XRS1","Verified"
"S000003132","ORF","YGL164C","YRB30","RanGTP-binding protein; inhibits RanGAP1 (Rna1p)-mediated GTP hydrolysis of RanGTP (Gsp1p); shares similarity to proteins in other fungi but not in higher eukaryotes","","Verified"
"S000003133","ORF","YGL165C","","Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially overlaps the verified ORF CUP2/YGL166W","","Dubious"
"S000003134","ORF","YGL166W","CUP2","Copper-binding transcription factor; activates transcription of the metallothionein genes CUP1-1 and CUP1-2 in response to elevated copper concentrations; required for regulation of copper genes in response to DNA-damaging reagents; CUP2 has a paralog, HAA1, that arose from the whole genome duplication","ACE1","Verified"
"S000003135","ORF","YGL167C","PMR1","High affinity Ca2+/Mn2+ P-type ATPase; required for Ca2+ and Mn2+ transport into Golgi; involved in Ca2+ dependent protein sorting, processing; D53A mutant (Mn2+ transporting) is rapamycin sensitive, Q783A mutant (Ca2+ transporting) is rapamycin resistant; Mn2+ transport into Golgi lumen required for rapamycin sensitivity; mutations in human homolog ATP2C1 cause acantholytic skin condition Hailey-Hailey disease; human ATP2C1 can complement yeast null mutant","BSD1|Ca(2+)/Mn(2+)-transporting P-type ATPase PMR1|LDB1|SSC1","Verified"
"S000003136","ORF","YGL168W","HUR1","Protein with a role in DNA repair; mutants show reduced efficiency of non-homologous end-joining repair","","Verified"
"S000003137","ORF","YGL169W","SUA5","Protein involved in threonylcarbamoyl adenosine biosynthesis; Sua5p and Qri7p are necessary and sufficient for RNA t6A modification in vitro; null mutant lacks N6-threonylcarbamoyl adenosine (t6A) modification in the anticodon loop of ANN-decoding tRNA; member of conserved YrdC/Sua5 family; binds single-stranded telomeric DNA and null mutant has abnormal telomere length","threonylcarbamoyladenylate synthase","Verified"
"S000003138","ORF","YGL170C","SPO74","Component of the meiotic outer plaque of the spindle pole body; involved in modifying the meiotic outer plaque that is required prior to prospore membrane formation","","Verified"
"S000003139","ORF","YGL171W","ROK1","RNA-dependent ATPase; involved in pre-rRNA processing at sites A0, A1, and A2, and in control of cell cycle progression; contains two upstream open reading frames (uORFs) in 5' untranslated region which regulate translation","RNA-dependent ATPase ROK1","Verified"
"S000003140","ORF","YGL172W","NUP49","FG-nucleoporin component of central core of the nuclear pore complex; contributes directly to nucleocytoplasmic transport and maintenance of the nuclear pore complex (NPC) permeability barrier; found in stable complex with Nic96p and two other FG-nucleoproteins (Nsp1p and Nup57p)","FG-nucleoporin NUP49|NSP49","Verified"
"S000003141","ORF","YGL173C","XRN1","Evolutionarily-conserved 5'-3' exonuclease; component of cytoplasmic processing (P) bodies involved in mRNA decay; enters the nucleus and positively regulates transcription initiation and elongation; involved in microtubule-mediated processes, filamentous growth, ribosomal RNA maturation, telomere maintenance, and turnover of tRNA introns; negative regulator of autophagy; activated by the scavenger decapping enzyme Dcs1p; expression regulated by Ash1p in rich conditions","chromatin-binding exonuclease XRN1|DST2|KEM1|RAR5|SEP1|SKI1","Verified"
"S000003142","ORF","YGL174W","BUD13","Subunit of the RES complex; RES complex is required for nuclear pre-mRNA retention and splicing; involved in bud-site selection; diploid mutants display a unipolar budding pattern instead of the wild-type bipolar pattern due to a specific defect in MATa1 pre-mRNA splicing which leads to haploid gene expression in diploids","CWC26","Verified"
"S000003143","ORF","YGL175C","SAE2","Endonuclease required for telomere elongation; required for telomeric 5' C-rich strand resection; involved in ds-break repair and processing hairpin DNA structures with the MRX complex; function requires sumoylation and phosphorylation; exists as inactive oligomers that are transiently released into smaller active units by phosphorylation; DNA damage triggers Sae2p removal, so active Sae2p is present only transiently; sequence and functional similarity with human CtIP/RBBP8","COM1|ssDNA endodeoxyribonuclease SAE2","Verified"
"S000003144","ORF","YGL176C","","Putative protein of unknown function; deletion mutant is viable and has no detectable phenotype","","Uncharacterized"
"S000003145","ORF","YGL177W","","Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data","","Dubious"
"S000003146","ORF","YGL178W","MPT5","mRNA-binding protein of the PUF family; binds to specific mRNAs, often in the 3' UTR; has broad specificity and binds to more than 1000 mRNAs (16% of the transcriptome); recruits the CCR4-NOT deadenylase complex to mRNAs along with Dhh1p and Dcp1p to promote deadenylation, decapping, and decay; also interacts with the Caf20p translational initiation repressor, affecting its mRNA target specificity","HTR1|PUF5|UTH4","Verified"
"S000003147","ORF","YGL179C","TOS3","Protein kinase; related to and functionally redundant with Elm1p and Sak1p for the phosphorylation and activation of Snf1p; functionally orthologous to LKB1, a mammalian kinase associated with Peutz-Jeghers cancer-susceptibility syndrome; TOS3 has a paralog, SAK1, that arose from the whole genome duplication","serine/threonine protein kinase TOS3","Verified"
"S000003148","ORF","YGL180W","ATG1","Protein serine/threonine kinase; required for vesicle formation in autophagy and the cytoplasm-to-vacuole targeting (Cvt) pathway; structurally required for phagophore assembly site formation; during autophagy forms a complex with Atg13p and Atg17p; essential for cell cycle progression from G2/M to G1 under nitrogen starvation","APG1|AUT3|CVT10|serine/threonine protein kinase ATG1","Verified"
"S000003149","ORF","YGL181W","GTS1","Protein involved in Arf3p regulation and in transcription regulation; localizes to the nucleus and to endocytic patches; contains an N-terminal Zn-finger and ArfGAP homology domain, a C-terminal glutamine-rich region, and a UBA (ubiquitin associated) domain; gts1 mutations affect budding, cell size, heat tolerance, sporulation, life span, ultradian rhythms, endocytosis; expression oscillates in a pattern similar to metabolic oscillations","FHT1|LSR1","Verified"
"S000003150","ORF","YGL182C","","Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially overlaps the verified ORF MND1/YGL183C","","Dubious"
"S000003151","ORF","YGL183C","MND1","Protein required for recombination and meiotic nuclear division; forms a complex with Hop2p, which is involved in chromosome pairing and repair of meiotic double-strand breaks","","Verified"
"S000003152","ORF","YGL184C","STR3","Peroxisomal cystathionine beta-lyase; converts cystathionine into homocysteine; may be redox regulated by Gto1p; involved in the release of the aromatic thiol 3-mercaptohexanol during wine fermentation","cystathionine beta-lyase STR3","Verified"
"S000003153","ORF","YGL185C","","Putative protein with sequence similar to hydroxyacid dehydrogenases; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm","putative hydroxyacid dehydrogenase","Uncharacterized"
"S000003154","ORF","YGL186C","TPN1","Plasma membrane pyridoxine (vitamin B6) transporter; member of the purine-cytosine permease subfamily within the major facilitator superfamily; proton symporter with similarity to Fcy21p, Fcy2p, and Fcy22p","","Verified"
"S000003155","ORF","YGL187C","COX4","Subunit IV of cytochrome c oxidase; the terminal member of the mitochondrial inner membrane electron transport chain; precursor N-terminal 25 residues are cleaved during mitochondrial import; phosphorylated; spermidine enhances translation","cytochrome c oxidase subunit IV","Verified"
"S000003156","ORF","YGL188C","","Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data","","Dubious"
"S000003157","ORF","YGL189C","RPS26A","Protein component of the small (40S) ribosomal subunit; homologous to mammalian ribosomal protein S26, no bacterial homolog; RPS26A has a paralog, RPS26B, that arose from the whole genome duplication; human homolog can partially complement an RPS26A, RPS26B double null mutant; mutations in the human gene are associated with Diamond-Blackfan anemia","eS26|ribosomal 40S subunit protein S26A|RPS26|S26A|S26e","Verified"
"S000003158","ORF","YGL190C","CDC55","Regulatory subunit B of protein phosphatase 2A (PP2A); Zds1p/2p-dependent localization to cytoplasm promotes mitotic entry; localization to nucleus prevents mitotic exit; required for correct nuclear division, chromosome segregation during achiasmate meiosis; maintains nucleolar sequestration of Cdc14p during early meiosis; limits formation of PP2A-Rts1p holocomplexes to ensure timely dissolution of sister chromosome cohesion; homolog of mammalian B55","protein phosphatase 2A regulatory subunit CDC55|TMR4","Verified"
"S000003159","ORF","YGL191W","COX13","Subunit VIa of cytochrome c oxidase; present in a subclass of cytochrome c oxidase complexes that may have a role in mimimizing generation of reactive oxygen species; not essential for cytochrome c oxidase activity but may modulate activity in response to ATP; required for assembly of Rcf2p into cytochrome c oxidase - cytochrome bc1 supercomplexes","cytochrome c oxidase subunit VIa","Verified"
"S000003160","ORF","YGL192W","IME4","mRNA N6-adenosine methyltransferase essential for meiosis in S288C but dispensable for meiosis in SK1; mediates N6-adenosine methylation of bulk mRNA during the induction of sporulation which includes the meiotic regulators IME1, IME2 and IME4 itself; repressed in haploids via production of antisense IME4 transcripts; transcribed in diploid cells where antisense transcription is repressed; orthologous to human METTL3 (MT-A70)","mRNA (N6-adenosine)-methyltransferase|SPO8","Verified"
"S000003161","ORF","YGL193C","","Haploid-specific gene repressed by a1-alpha2; turned off in sir3 null strains, absence enhances the sensitivity of rad52-327 cells to campothecin almost 100-fold","","Uncharacterized"
"S000003162","ORF","YGL194C","HOS2","Histone deacetylase and subunit of Set3 and Rpd3L complexes; required for gene activation via specific deacetylation of lysines in H3 and H4 histone tails; subunit of the Set3 complex, a meiotic-specific repressor of sporulation specific genes that contains deacetylase activity; co-localizes with Cmr1p in nuclear foci in response to DNA damage by MMS","histone deacetylase HOS2|RTL1","Verified"
"S000003163","ORF","YGL195W","GCN1","Positive regulator of the Gcn2p kinase activity; forms a complex with Gcn20p; proposed to stimulate Gcn2p activation by an uncharged tRNA","AAS103|NDR1","Verified"
"S000003164","ORF","YGL196W","DSD1","D-serine dehydratase (aka D-serine ammonia-lyase); converts D-serine to pyruvate and ammonia by a reaction dependent on pyridoxal 5'-phosphate and zinc; may play a role in D-serine detoxification; L-serine is not a substrate","D-serine ammonia-lyase DSD1","Verified"
"S000003165","ORF","YGL197W","MDS3","Putative component of the TOR regulatory pathway; negative regulator of early meiotic gene expression; required, with Pmd1p, for growth under alkaline conditions; has an N-terminal kelch-like domain; MDS3 has a paralog, PMD1, that arose from the whole genome duplication","","Verified"
"S000003166","ORF","YGL198W","YIP4","Protein that interacts with Rab GTPases; localized to late Golgi vesicles; computational analysis of large-scale protein-protein interaction data suggests a possible role in vesicle-mediated transport","","Verified"
"S000003167","ORF","YGL199C","","Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially overlaps the verified ORF YIP4/YGL198W","","Dubious"
"S000003168","ORF","YGL200C","EMP24","Component of the p24 complex; role in misfolded protein quality control; binds to GPI anchor proteins and mediates their efficient transport from the ER to the Golgi; integral membrane protein that associates with endoplasmic reticulum-derived COPII-coated vesicles","BST2","Verified"
"S000003169","ORF","YGL201C","MCM6","Protein involved in DNA replication; component of the Mcm2-7 hexameric helicase complex that binds chromatin as a part of the pre-replicative complex; forms a subcomplex with Mcm4p and Mcm7p","MCM DNA helicase complex subunit MCM6","Verified"
"S000003170","ORF","YGL202W","ARO8","Aromatic aminotransferase I; expression is regulated by general control of amino acid biosynthesis; involved with Aro9p in production of kynurenic acid to detoxify excess tryptophan","bifunctional 2-aminoadipate transaminase/aromatic-amino-acid:2-oxoglutarate transaminase","Verified"
"S000003171","ORF","YGL203C","KEX1","Cell death protease essential for hypochlorite-induced apoptosis; involved in the processing of killer toxin and alpha factor precursor; cleaves Lys and Arg residues from the C-terminus of peptides and proteins","serine-type carboxypeptidase","Verified"
"S000003172","ORF","YGL204C","","Protein of unknown function; mRNA identified as translated by ribosome profiling data; SWAT-GFP and mCherry fusion proteins localize to the endoplasmic reticulum","","Uncharacterized"
"S000003173","ORF","YGL205W","POX1","Fatty-acyl coenzyme A oxidase; involved in the fatty acid beta-oxidation pathway; localized to the peroxisomal matrix","acyl-CoA oxidase|FOX1","Verified"
"S000003174","ORF","YGL206C","CHC1","Clathrin heavy chain; subunit of the major coat protein involved in intracellular protein transport and endocytosis; the clathrin triskelion is a trimeric molecule composed of three heavy chains that radiate from a vertex and three light chains which bind noncovalently near the vertex of the triskelion; the light chain (CLC1) is thought to regulate function","clathrin heavy chain|SWA5","Verified"
"S000003175","ORF","YGL207W","SPT16","Subunit of the heterodimeric FACT complex (Spt16p-Pob3p); FACT associates with chromatin via interaction with Nhp6Ap and Nhp6Bp, and reorganizes nucleosomes to facilitate access to DNA by RNA and DNA polymerases; specifically required for diauxic shift-induced H2B deposition onto rDNA genes; mutations cause reduced nucleosome occupancy over highly transcribed regions; coregulates transcription with Mot1p through preinitiation complex assembly and nucleosome organization","CDC68|chromatin-remodeling protein SPT16|SSF1","Verified"
"S000003176","ORF","YGL208W","SIP2","One of three alternate beta subunits of the Snf1 kinase complex; involved in the response to glucose starvation; null mutants exhibit accelerated aging; N-myristoylprotein localized to the cytoplasm and the plasma membrane; SIP2 has a paralog, GAL83, that arose from the whole genome duplication","SPM2","Verified"
"S000003177","ORF","YGL209W","MIG2","Zinc finger transcriptional repressor; cooperates with Mig1p in glucose-induced gene repression; under low glucose conditions relocalizes to mitochondrion, where it interacts with Ups1p, antagonizes mitochondrial fission factor Dnm1p, indicative of a role in mitochondrial fusion or regulating morphology; regulates filamentous growth in response to glucose depletion; activated in stochastic pulses of nuclear localization in response to low glucose","MLZ1","Verified"
"S000003178","ORF","YGL210W","YPT32","Rab family GTPase involved in the exocytic pathway; mediates intra-Golgi traffic or the budding of post-Golgi vesicles from the trans-Golgi; protein abundance increases in response to DNA replication stress; YPT32 has a paralog, YPT31, that arose from the whole genome duplication","Rab family GTPase YPT32","Verified"
"S000003179","ORF","YGL211W","NCS6","Protein required for uridine thiolation of Gln, Lys, and Glu tRNAs; required for the thiolation of uridine at the wobble position of Gln, Lys, and Glu tRNAs; has a role in urmylation and in invasive and pseudohyphal growth; inhibits replication of Brome mosaic virus in S. cerevisiae","TUC1|YGL210W-A","Verified"
"S000003180","ORF","YGL212W","VAM7","Vacuolar SNARE protein; functions with Vam3p in vacuolar protein trafficking; has an N-terminal PX domain (phosphoinositide-binding module) that binds PtdIns-3-P and mediates membrane binding; SNAP-25 homolog; protein abundance increases in response to DNA replication stress","VPL24|VPS43","Verified"
"S000003181","ORF","YGL213C","SKI8","Ski complex component and WD-repeat protein; mediates 3'-5' RNA degradation by the cytoplasmic exosome; also required for meiotic double-strand break recombination; null mutants have superkiller phenotype","REC103|SKI complex subunit WD repeat protein SKI8","Verified"
"S000003182","ORF","YGL214W","","Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; deletion mutation phenotype is likely due to the overlapping verified ORF SKI8/YGL213C","","Dubious"
"S000003183","ORF","YGL215W","CLG1","Cyclin-like protein that interacts with Pho85p; has sequence similarity to G1 cyclins PCL1 and PCL2","","Verified"
"S000003184","ORF","YGL216W","KIP3","Kinesin-related antiparallel sliding motor protein; involved in mitotic spindle positioning; sliding activity promotes bipolar spindle assembly and maintenance of genome stability; inhibits spindle elongation, destabilizing late anaphase spindle microtubules that polymerize beyond the midzone","tubulin-dependent ATPase KIP3","Verified"
"S000003185","ORF","YGL217C","","Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially overlaps the verified ORF KIP3/YGL216W","","Dubious"
"S000003186","ORF","YGL218W","","Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; not conserved in closely related Saccharomyces species; 93% of ORF overlaps the verified gene MDM34; deletion in cyr1 mutant results in loss of stress resistance","SRF1","Dubious"
"S000003187","ORF","YGL219C","MDM34","Mitochondrial component of the ERMES complex; links the ER to mitochondria and may promote inter-organellar calcium and phospholipid exchange as well as coordinating mitochondrial DNA replication and growth; required for mitophagy; ERMES complex is often co-localized with peroxisomes and with concentrated areas of pyruvate dehydrogenase","ERMES complex subunit MDM34|MMM2","Verified"
